Store,Store_Name,Date,Weekly_Sales
1,Alaska,2/5/2010 0:00,1643690.9
1,Alaska,2/12/2010 0:00,1641957.44
1,Alaska,2/19/2010 0:00,1611968.17
1,Alaska,2/26/2010 0:00,1409727.59
1,Alaska,3/5/2010 0:00,1554806.68
1,Alaska,3/12/2010 0:00,1439541.59
1,Alaska,3/19/2010 0:00,1472515.79
1,Alaska,3/26/2010 0:00,1404429.92
1,Alaska,4/2/2010 0:00,1594968.28
1,Alaska,4/9/2010 0:00,1545418.53
1,Alaska,4/16/2010 0:00,1466058.28
1,Alaska,4/23/2010 0:00,1391256.12
1,Alaska,4/30/2010 0:00,1425100.71
1,Alaska,5/7/2010 0:00,1603955.12
1,Alaska,5/14/2010 0:00,1494251.5
1,Alaska,5/21/2010 0:00,1399662.07
1,Alaska,5/28/2010 0:00,1432069.95
1,Alaska,6/4/2010 0:00,1615524.71
1,Alaska,6/11/2010 0:00,1542561.09
1,Alaska,6/18/2010 0:00,1503284.06
1,Alaska,6/25/2010 0:00,1422711.6
1,Alaska,7/2/2010 0:00,1492418.14
1,Alaska,7/9/2010 0:00,1546074.18
1,Alaska,7/16/2010 0:00,1448938.92
1,Alaska,7/23/2010 0:00,1385065.2
1,Alaska,7/30/2010 0:00,1371986.6
1,Alaska,8/6/2010 0:00,1605491.78
1,Alaska,8/13/2010 0:00,1508237.76
1,Alaska,8/20/2010 0:00,1513080.49
1,Alaska,8/27/2010 0:00,1449142.92
1,Alaska,9/3/2010 0:00,1540163.53
1,Alaska,9/10/2010 0:00,1507460.69
1,Alaska,9/17/2010 0:00,1430378.67
1,Alaska,9/24/2010 0:00,1351791.03
1,Alaska,10/1/2010 0:00,1453329.5
1,Alaska,10/8/2010 0:00,1508239.93
1,Alaska,10/15/2010 0:00,1459409.1
1,Alaska,10/22/2010 0:00,
1,Alaska,10/29/2010 0:00,1384209.22
1,Alaska,11/5/2010 0:00,1551659.28
1,Alaska,11/12/2010 0:00,1494479.49
1,Alaska,11/19/2010 0:00,1483784.18
1,Alaska,11/26/2010 0:00,1955624.11
1,Alaska,12/3/2010 0:00,1548033.78
1,Alaska,12/10/2010 0:00,1682614.26
1,Alaska,12/17/2010 0:00,1891034.93
1,Alaska,12/24/2010 0:00,2387950.2
1,Alaska,12/31/2010 0:00,1367320.01
1,Alaska,1/7/2011 0:00,1444732.28
1,Alaska,1/14/2011 0:00,1391013.96
1,Alaska,1/21/2011 0:00,1327405.42
1,Alaska,1/28/2011 0:00,1316899.31
1,Alaska,2/4/2011 0:00,1606629.58
1,Alaska,2/11/2011 0:00,1649614.93
1,Alaska,2/18/2011 0:00,1686842.78
1,Alaska,2/25/2011 0:00,1456800.28
1,Alaska,3/4/2011 0:00,1636263.41
1,Alaska,3/11/2011 0:00,1553191.63
1,Alaska,3/18/2011 0:00,1576818.06
1,Alaska,3/25/2011 0:00,1541102.38
1,Alaska,4/1/2011 0:00,1495064.75
1,Alaska,4/8/2011 0:00,1614259.35
1,Alaska,4/15/2011 0:00,1559889
1,Alaska,4/22/2011 0:00,1564819.81
1,Alaska,4/29/2011 0:00,1455090.69
1,Alaska,5/6/2011 0:00,1629391.28
1,Alaska,5/13/2011 0:00,1604775.58
1,Alaska,5/20/2011 0:00,1428218.27
1,Alaska,5/27/2011 0:00,1466046.67
1,Alaska,6/3/2011 0:00,1635078.41
1,Alaska,6/10/2011 0:00,1588948.32
1,Alaska,6/17/2011 0:00,1532114.86
1,Alaska,6/24/2011 0:00,1438830.15
1,Alaska,7/1/2011 0:00,1488538.09
1,Alaska,7/8/2011 0:00,1534849.64
1,Alaska,7/15/2011 0:00,1455119.97
1,Alaska,7/22/2011 0:00,1396926.82
1,Alaska,7/29/2011 0:00,1352219.79
1,Alaska,8/5/2011 0:00,1624383.75
1,Alaska,8/12/2011 0:00,1525147.09
1,Alaska,8/19/2011 0:00,1530761.43
1,Alaska,8/26/2011 0:00,1464693.46
1,Alaska,9/2/2011 0:00,1550229.22
1,Alaska,9/9/2011 0:00,1540471.24
1,Alaska,9/16/2011 0:00,1514259.78
1,Alaska,9/23/2011 0:00,1380020.27
1,Alaska,9/30/2011 0:00,1394561.83
1,Alaska,10/7/2011 0:00,1630989.95
1,Alaska,10/14/2011 0:00,1493525.93
1,Alaska,10/21/2011 0:00,1502562.78
1,Alaska,10/28/2011 0:00,1445249.09
1,Alaska,11/4/2011 0:00,1697229.58
1,Alaska,11/11/2011 0:00,1594938.89
1,Alaska,11/18/2011 0:00,1539483.7
1,Alaska,11/25/2011 0:00,2033320.66
1,Alaska,12/2/2011 0:00,1584083.95
1,Alaska,12/9/2011 0:00,1799682.38
1,Alaska,12/16/2011 0:00,1881176.67
1,Alaska,12/23/2011 0:00,2270188.99
1,Alaska,12/30/2011 0:00,1497462.72
1,Alaska,1/6/2012 0:00,1550369.92
1,Alaska,1/13/2012 0:00,1459601.17
1,Alaska,1/20/2012 0:00,1394393.84
1,Alaska,1/27/2012 0:00,
1,Alaska,2/3/2012 0:00,1636339.65
1,Alaska,2/10/2012 0:00,1802477.43
1,Alaska,2/17/2012 0:00,1819870
1,Alaska,2/24/2012 0:00,1539387.83
1,Alaska,3/2/2012 0:00,1688420.76
1,Alaska,3/9/2012 0:00,1675431.16
1,Alaska,3/16/2012 0:00,1677472.78
1,Alaska,3/23/2012 0:00,1511068.07
1,Alaska,3/30/2012 0:00,1649604.63
1,Alaska,4/6/2012 0:00,1899676.88
1,Alaska,4/13/2012 0:00,1621031.7
1,Alaska,4/20/2012 0:00,1521577.87
1,Alaska,4/27/2012 0:00,1468928.37
1,Alaska,5/4/2012 0:00,1684519.99
1,Alaska,5/11/2012 0:00,1611096.05
1,Alaska,5/18/2012 0:00,
1,Alaska,5/25/2012 0:00,1555444.55
1,Alaska,6/1/2012 0:00,1624477.58
1,Alaska,6/8/2012 0:00,1697230.96
